Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Min group size nuc,Max group size nuc,Avg group size nuc,Genome_1,Genome_2,Genome_3,Genome_4,Genome_5,Genome_6,Genome_7,Genome_8
core_gene_001,,core housekeeping protein,8,8,1,NA,300,900,600,core_gene_001_id,core_gene_001_id,core_gene_001_id,core_gene_001_id,core_gene_001_id,core_gene_001_id,core_gene_001_id,core_gene_001_id
core_gene_002,,core housekeeping protein,8,8,1,NA,300,900,600,core_gene_002_id,core_gene_002_id,core_gene_002_id,core_gene_002_id,core_gene_002_id,core_gene_002_id,core_gene_002_id,core_gene_002_id
core_gene_003,,core housekeeping protein,8,8,1,NA,300,900,600,core_gene_003_id,core_gene_003_id,core_gene_003_id,core_gene_003_id,core_gene_003_id,core_gene_003_id,core_gene_003_id,core_gene_003_id
core_gene_004,,core housekeeping protein,8,8,1,NA,300,900,600,core_gene_004_id,core_gene_004_id,core_gene_004_id,core_gene_004_id,core_gene_004_id,core_gene_004_id,core_gene_004_id,core_gene_004_id
core_gene_005,,core housekeeping protein,8,8,1,NA,300,900,600,core_gene_005_id,core_gene_005_id,core_gene_005_id,core_gene_005_id,core_gene_005_id,core_gene_005_id,core_gene_005_id,core_gene_005_id
core_gene_006,,core housekeeping protein,8,8,1,NA,300,900,600,core_gene_006_id,core_gene_006_id,core_gene_006_id,core_gene_006_id,core_gene_006_id,core_gene_006_id,core_gene_006_id,core_gene_006_id
core_gene_007,,core housekeeping protein,8,8,1,NA,300,900,600,core_gene_007_id,core_gene_007_id,core_gene_007_id,core_gene_007_id,core_gene_007_id,core_gene_007_id,core_gene_007_id,core_gene_007_id
core_gene_008,,core housekeeping protein,8,8,1,NA,300,900,600,core_gene_008_id,core_gene_008_id,core_gene_008_id,core_gene_008_id,core_gene_008_id,core_gene_008_id,core_gene_008_id,core_gene_008_id
blockA_gene_001,,hypothetical protein,6,6,1,NA,300,900,600,blockA_gene_001_id,blockA_gene_001_id,blockA_gene_001_id,blockA_gene_001_id,blockA_gene_001_id,blockA_gene_001_id,,
blockA_gene_002,,oxidoreductase,6,6,1,NA,300,900,600,blockA_gene_002_id,blockA_gene_002_id,blockA_gene_002_id,blockA_gene_002_id,blockA_gene_002_id,blockA_gene_002_id,,
blockA_gene_003,,phage-associated protein,6,6,1,NA,300,900,600,blockA_gene_003_id,blockA_gene_003_id,blockA_gene_003_id,blockA_gene_003_id,blockA_gene_003_id,blockA_gene_003_id,,
